Source File: C:\Users\Marcos\Documents\Vemco\LoggerVUE\Minilog-II-T_358946_20260321_1.vld
Source Device: Minilog-II-T-358946
Study Description: Molly1
Minilog Initialized: 2026-03-18 12:35:24 (UTC+0)
Study Start Time: 2026-03-18 13:00:00
Study Stop Time: 2026-03-21 12:40:00
Sample Interval: 00:20:00
Date(yyyy-mm-dd) Time(hh:mm:ss),Temperature (°C)
2026-03-18 13:00:00,2.19
2026-03-18 13:20:00,-0.20
2026-03-18 13:40:00,-1.65
2026-03-18 14:00:00,-1.69
2026-03-18 14:20:00,-1.68
2026-03-18 14:40:00,-1.65
2026-03-18 15:00:00,-1.67
2026-03-18 15:20:00,-1.65
2026-03-18 15:40:00,-1.68
2026-03-18 16:00:00,-1.67
2026-03-18 16:20:00,-1.68
2026-03-18 16:40:00,-1.67
2026-03-18 17:00:00,-1.63
2026-03-18 17:20:00,-1.63
2026-03-18 17:40:00,-1.63
2026-03-18 18:00:00,-1.63
2026-03-18 18:20:00,-1.66
2026-03-18 18:40:00,-1.67
2026-03-18 19:00:00,-1.69
2026-03-18 19:20:00,-1.69
2026-03-18 19:40:00,-1.68
2026-03-18 20:00:00,-1.68
2026-03-18 20:20:00,-1.69
2026-03-18 20:40:00,-1.69
2026-03-18 21:00:00,-1.70
2026-03-18 21:20:00,-1.71
2026-03-18 21:40:00,-1.67
2026-03-18 22:00:00,-1.73
2026-03-18 22:20:00,-1.71
2026-03-18 22:40:00,-1.71
2026-03-18 23:00:00,-1.73
2026-03-18 23:20:00,-1.74
2026-03-18 23:40:00,-1.74
2026-03-19 00:00:00,-1.71
2026-03-19 00:20:00,-1.66
2026-03-19 00:40:00,-1.65
2026-03-19 01:00:00,-1.64
2026-03-19 01:20:00,-1.63
2026-03-19 01:40:00,-1.63
2026-03-19 02:00:00,-1.65
2026-03-19 02:20:00,-1.66
2026-03-19 02:40:00,-1.64
2026-03-19 03:00:00,-1.64
2026-03-19 03:20:00,-1.63
2026-03-19 03:40:00,-1.66
2026-03-19 04:00:00,-1.63
2026-03-19 04:20:00,-1.67
2026-03-19 04:40:00,-1.69
2026-03-19 05:00:00,-1.69
2026-03-19 05:20:00,-1.65
2026-03-19 05:40:00,-1.65
2026-03-19 06:00:00,-1.65
2026-03-19 06:20:00,-1.65
2026-03-19 06:40:00,-1.66
2026-03-19 07:00:00,-1.66
2026-03-19 07:20:00,-1.65
2026-03-19 07:40:00,-1.66
2026-03-19 08:00:00,-1.69
2026-03-19 08:20:00,-1.67
2026-03-19 08:40:00,-1.68
2026-03-19 09:00:00,-1.68
2026-03-19 09:20:00,-1.70
2026-03-19 09:40:00,-1.71
2026-03-19 10:00:00,-1.65
2026-03-19 10:20:00,-1.69
2026-03-19 10:40:00,-1.67
2026-03-19 11:00:00,-1.64
2026-03-19 11:20:00,-1.65
2026-03-19 11:40:00,-1.63
2026-03-19 12:00:00,-1.70
2026-03-19 12:20:00,-1.65
2026-03-19 12:40:00,-1.64
2026-03-19 13:00:00,-1.63
2026-03-19 13:20:00,-1.63
2026-03-19 13:40:00,-1.64
2026-03-19 14:00:00,-1.69
2026-03-19 14:20:00,-1.67
2026-03-19 14:40:00,-1.70
2026-03-19 15:00:00,-1.68
2026-03-19 15:20:00,-1.68
2026-03-19 15:40:00,-1.69
2026-03-19 16:00:00,-1.69
2026-03-19 16:20:00,-1.68
2026-03-19 16:40:00,-1.69
2026-03-19 17:00:00,-1.69
2026-03-19 17:20:00,-1.68
2026-03-19 17:40:00,-1.68
2026-03-19 18:00:00,-1.68
2026-03-19 18:20:00,-1.68
2026-03-19 18:40:00,-1.67
2026-03-19 19:00:00,-1.66
2026-03-19 19:20:00,-1.67
2026-03-19 19:40:00,-1.66
2026-03-19 20:00:00,-1.68
2026-03-19 20:20:00,-1.68
2026-03-19 20:40:00,-1.66
2026-03-19 21:00:00,-1.67
2026-03-19 21:20:00,-1.65
2026-03-19 21:40:00,-1.65
2026-03-19 22:00:00,-1.68
2026-03-19 22:20:00,-1.67
2026-03-19 22:40:00,-1.69
2026-03-19 23:00:00,-1.73
2026-03-19 23:20:00,-1.72
2026-03-19 23:40:00,-1.71
2026-03-20 00:00:00,-1.70
2026-03-20 00:20:00,-1.71
2026-03-20 00:40:00,-1.73
2026-03-20 01:00:00,-1.72
2026-03-20 01:20:00,-1.73
2026-03-20 01:40:00,-1.73
2026-03-20 02:00:00,-1.73
2026-03-20 02:20:00,-1.74
2026-03-20 02:40:00,-1.73
2026-03-20 03:00:00,-1.74
2026-03-20 03:20:00,-1.73
2026-03-20 03:40:00,-1.73
2026-03-20 04:00:00,-1.73
2026-03-20 04:20:00,-1.72
2026-03-20 04:40:00,-1.73
2026-03-20 05:00:00,-1.73
2026-03-20 05:20:00,-1.74
2026-03-20 05:40:00,-1.73
2026-03-20 06:00:00,-1.71
2026-03-20 06:20:00,-1.71
2026-03-20 06:40:00,-1.72
2026-03-20 07:00:00,-1.72
2026-03-20 07:20:00,-1.73
2026-03-20 07:40:00,-1.71
2026-03-20 08:00:00,-1.72
2026-03-20 08:20:00,-1.72
2026-03-20 08:40:00,-1.75
2026-03-20 09:00:00,-1.75
2026-03-20 09:20:00,-1.76
2026-03-20 09:40:00,-1.75
2026-03-20 10:00:00,-1.72
2026-03-20 10:20:00,-1.67
2026-03-20 10:40:00,-1.63
2026-03-20 11:00:00,-1.59
2026-03-20 11:20:00,-1.55
2026-03-20 11:40:00,-1.55
2026-03-20 12:00:00,-1.56
2026-03-20 12:20:00,-1.58
2026-03-20 12:40:00,-1.60
2026-03-20 13:00:00,-1.60
2026-03-20 13:20:00,-1.61
2026-03-20 13:40:00,-1.61
2026-03-20 14:00:00,-1.61
2026-03-20 14:20:00,-1.60
2026-03-20 14:40:00,-1.62
2026-03-20 15:00:00,-1.58
2026-03-20 15:20:00,-1.58
2026-03-20 15:40:00,-1.64
2026-03-20 16:00:00,-1.65
2026-03-20 16:20:00,-1.65
2026-03-20 16:40:00,-1.62
2026-03-20 17:00:00,-1.59
2026-03-20 17:20:00,-1.60
2026-03-20 17:40:00,-1.62
2026-03-20 18:00:00,-1.69
2026-03-20 18:20:00,-1.67
2026-03-20 18:40:00,-1.68
2026-03-20 19:00:00,-1.67
2026-03-20 19:20:00,-1.67
2026-03-20 19:40:00,-1.63
2026-03-20 20:00:00,-1.60
2026-03-20 20:20:00,-1.61
2026-03-20 20:40:00,-1.58
2026-03-20 21:00:00,-1.58
2026-03-20 21:20:00,-1.59
2026-03-20 21:40:00,-1.61
2026-03-20 22:00:00,-1.64
2026-03-20 22:20:00,-1.61
2026-03-20 22:40:00,-1.63
2026-03-20 23:00:00,-1.62
2026-03-20 23:20:00,-1.63
2026-03-20 23:40:00,-1.70
2026-03-21 00:00:00,-1.67
2026-03-21 00:20:00,-1.65
2026-03-21 00:40:00,-1.64
2026-03-21 01:00:00,-1.63
2026-03-21 01:20:00,-1.58
2026-03-21 01:40:00,-1.59
2026-03-21 02:00:00,-1.60
2026-03-21 02:20:00,-1.60
2026-03-21 02:40:00,-1.60
2026-03-21 03:00:00,-1.59
2026-03-21 03:20:00,-1.59
2026-03-21 03:40:00,-1.58
2026-03-21 04:00:00,-1.57
2026-03-21 04:20:00,-1.56
2026-03-21 04:40:00,-1.55
2026-03-21 05:00:00,-1.56
2026-03-21 05:20:00,-1.55
2026-03-21 05:40:00,-1.55
2026-03-21 06:00:00,-1.56
2026-03-21 06:20:00,-1.56
2026-03-21 06:40:00,-1.57
2026-03-21 07:00:00,-1.54
2026-03-21 07:20:00,-1.54
2026-03-21 07:40:00,-1.58
2026-03-21 08:00:00,-1.52
2026-03-21 08:20:00,-2.84
2026-03-21 08:40:00,2.33
2026-03-21 09:00:00,12.36
2026-03-21 09:20:00,13.70
2026-03-21 09:40:00,13.40
2026-03-21 10:00:00,13.24
2026-03-21 10:20:00,7.81
2026-03-21 10:40:00,6.77
2026-03-21 11:00:00,6.52
2026-03-21 11:20:00,6.16
2026-03-21 11:40:00,6.12
2026-03-21 12:00:00,6.08
2026-03-21 12:20:00,6.03
2026-03-21 12:40:00,5.97
