		System Parameters				Pressure #605		Conductivity #825		DCS #514															Oxygen Optode #749
Record	Time tag (Gmt)	Battery Voltage	Memory Used	Last Interval	Time Correction	Pressure	Temperature	Conductivity	Temperature	Abs Speed	Direction	North	East	Heading	Tilt X	Tilt Y	SP Std	Strength	Ping Count	Abs Tilt	Max Tilt	Std Tilt	Strength X	Strength Y	O2Concentration	AirSaturation	Temperature
0	18.03.26 14:00:00	6.410	8708096	3599994	0.000	162.845	-1.611	27.530	-1.636	5.677	355.281	5.658	-0.467	301.725	7.946	8.593	240.099	-49.729	134	30.958	90.000	39.185	-49.517	-49.942	438.286	91.723	-1.580
1	18.03.26 15:00:00	6.492	8720384	3599992	0.000	162.708	-1.579	27.542	-1.617	6.370	157.138	-5.870	2.475	320.784	-0.289	-0.134	4.203	-44.025	150	0.325	0.478	0.054	-43.934	-44.116	438.194	91.708	-1.578
2	18.03.26 16:00:00	6.498	8716288	3599993	0.000	162.535	-1.594	27.532	-1.623	5.745	160.785	-5.425	1.891	322.368	-0.245	-0.127	5.380	-43.105	150	0.282	0.412	0.056	-43.258	-42.953	437.789	91.579	-1.595
3	18.03.26 17:00:00	6.492	8720384	3599994	0.000	162.419	-1.620	27.519	-1.670	4.111	131.063	-2.701	3.100	325.342	-0.303	-0.178	4.222	-43.260	150	0.355	0.499	0.050	-43.020	-43.499	437.174	91.368	-1.626
4	18.03.26 18:00:00	6.504	8724480	3599993	0.000	162.251	-1.603	27.530	-1.655	2.954	76.615	0.684	2.874	316.663	-0.333	-0.194	4.847	-42.031	150	0.390	0.471	0.041	-41.947	-42.114	437.468	91.467	-1.612
5	18.03.26 19:00:00	6.498	8724480	3599994	0.000	162.167	-1.593	27.530	-1.651	4.315	35.606	3.508	2.512	318.326	-0.336	-0.216	4.710	-40.326	150	0.404	0.525	0.045	-40.109	-40.542	433.931	90.752	-1.603
6	18.03.26 20:00:00	6.504	8724480	3599994	0.000	162.092	-1.623	27.517	-1.661	5.287	36.514	4.249	3.146	322.766	-0.349	-0.206	4.366	-41.143	150	0.409	0.524	0.042	-40.840	-41.447	437.218	91.365	-1.630
7	18.03.26 21:00:00	6.523	8724480	3599994	0.000	162.013	-1.596	27.539	-1.632	4.637	26.642	4.145	2.079	322.510	-0.356	-0.201	4.347	-41.531	150	0.414	0.529	0.049	-41.564	-41.499	439.721	91.947	-1.608
8	18.03.26 22:00:00	6.540	8724480	3599994	0.000	161.939	-1.651	27.503	-1.683	4.573	40.684	3.468	2.981	320.428	-0.379	-0.209	4.234	-43.379	150	0.436	0.542	0.043	-43.292	-43.466	437.237	91.280	-1.664
9	18.03.26 23:00:00	6.516	8724480	3599994	0.000	161.859	-1.606	27.529	-1.661	5.182	40.301	3.952	3.352	329.111	-0.380	-0.190	4.360	-45.763	150	0.430	0.561	0.063	-45.479	-46.047	439.919	91.976	-1.613
10	19.03.26 00:00:00	6.540	8728576	3599993	0.000	161.804	-1.593	27.545	-1.644	3.729	63.753	1.649	3.345	322.206	-0.393	-0.184	4.361	-46.462	150	0.439	0.556	0.050	-46.316	-46.607	440.876	92.207	-1.601
11	19.03.26 01:00:00	6.540	8728576	3599993	0.000	161.815	-1.595	27.552	-1.657	1.611	79.296	0.299	1.583	317.637	-0.372	-0.159	4.647	-46.260	150	0.409	0.520	0.045	-45.892	-46.629	438.806	91.772	-1.602
12	19.03.26 02:00:00	6.546	8728576	3599993	0.000	161.757	-1.602	27.543	-1.638	4.357	132.200	-2.926	3.227	311.323	-0.361	-0.151	4.238	-45.991	150	0.396	0.504	0.044	-45.952	-46.029	439.115	91.821	-1.608
13	19.03.26 03:00:00	6.534	8728576	3599993	0.000	161.736	-1.602	27.536	-1.657	4.780	139.112	-3.614	3.129	309.142	-0.333	-0.172	4.131	-47.273	150	0.380	0.492	0.045	-47.321	-47.224	438.364	91.660	-1.610
14	19.03.26 04:00:00	6.528	8728576	3599993	0.000	161.725	-1.603	27.531	-1.655	5.126	140.613	-3.961	3.252	310.159	-0.307	-0.175	4.197	-46.748	150	0.359	0.488	0.044	-46.423	-47.073	437.611	91.502	-1.610
15	19.03.26 05:00:00	6.540	8728576	3599993	0.000	161.705	-1.603	27.529	-1.644	5.767	147.049	-4.839	3.137	311.753	-0.249	-0.169	4.119	-46.763	150	0.306	0.421	0.044	-46.739	-46.787	438.223	91.628	-1.611
16	19.03.26 06:00:00	6.546	8732672	3599994	0.000	161.737	-1.600	27.525	-1.644	3.335	127.252	-2.019	2.654	315.552	-0.343	-0.192	4.062	-46.739	150	0.397	0.546	0.046	-46.589	-46.888	435.165	90.998	-1.607
17	19.03.26 07:00:00	6.534	8732672	3599994	0.000	161.755	-1.591	27.526	-1.647	2.208	4.631	2.201	0.178	315.865	-0.361	-0.214	4.595	-45.037	150	0.424	0.582	0.044	-45.323	-44.752	437.278	91.460	-1.600
18	19.03.26 08:00:00	6.540	8732672	3599994	0.000	161.778	-1.598	27.540	-1.642	2.413	29.998	2.090	1.206	316.076	-0.349	-0.211	4.123	-47.074	150	0.412	0.495	0.042	-46.916	-47.232	439.178	91.842	-1.605
19	19.03.26 09:00:00	6.546	8732672	3599993	0.000	161.827	-1.598	27.538	-1.644	2.120	90.099	-0.004	2.120	314.968	-0.346	-0.197	4.207	-47.165	150	0.403	0.507	0.042	-46.957	-47.374	440.653	92.159	-1.602
20	19.03.26 10:00:00	6.540	8732672	3599993	0.000	161.862	-1.601	27.543	-1.632	3.608	54.025	2.119	2.920	312.738	-0.364	-0.203	3.566	-47.175	150	0.421	0.503	0.041	-46.874	-47.476	438.581	91.711	-1.608
21	19.03.26 11:00:00	6.546	8732672	3599994	0.000	161.874	-1.615	27.527	-1.657	2.787	9.891	2.745	0.479	317.356	-0.403	-0.188	4.093	-46.922	150	0.450	0.589	0.049	-46.624	-47.220	439.078	91.806	-1.611
22	19.03.26 12:00:00	6.540	8732672	3599993	0.000	161.915	-1.598	27.540	-1.627	1.080	12.251	1.055	0.229	318.306	-0.407	-0.163	4.267	-46.838	150	0.444	0.607	0.051	-46.373	-47.303	439.037	91.817	-1.604
23	19.03.26 13:00:00	6.569	8732672	3599994	0.000	162.005	-1.608	27.530	-1.655	1.270	132.990	-0.866	0.929	316.489	-0.378	-0.118	4.457	-47.199	150	0.401	0.534	0.052	-46.987	-47.411	438.741	91.729	-1.613
24	19.03.26 14:00:00	6.569	8732672	3599994	0.000	162.010	-1.594	27.544	-1.640	4.511	158.249	-4.190	1.672	309.412	-0.359	-0.054	4.405	-46.707	150	0.368	0.503	0.055	-46.619	-46.794	438.269	91.662	-1.601
25	19.03.26 15:00:00	6.569	8732672	3599994	0.000	161.993	-1.600	27.520	-1.638	5.922	169.224	-5.818	1.107	310.372	-0.325	-0.086	4.356	-47.936	150	0.342	0.447	0.044	-47.575	-48.297	434.379	90.832	-1.608
26	19.03.26 16:00:00	6.569	8732672	3599993	0.000	162.018	-1.610	27.509	-1.657	4.448	176.168	-4.438	0.297	321.549	-0.305	-0.069	3.837	-42.936	150	0.319	0.472	0.053	-43.230	-42.642	434.676	90.868	-1.617
27	19.03.26 17:00:00	6.569	8732672	3599994	0.000	161.994	-1.616	27.503	-1.653	5.533	212.467	-4.668	-2.970	328.132	-0.274	-0.045	4.130	-43.336	150	0.287	0.455	0.066	-43.424	-43.248	434.303	90.775	-1.623
28	19.03.26 18:00:00	6.569	8732672	3599993	0.000	162.027	-1.609	27.523	-1.655	5.044	185.118	-5.024	-0.450	323.937	-0.338	-0.144	4.115	-44.386	150	0.373	0.471	0.048	-44.291	-44.480	435.569	91.056	-1.617
29	19.03.26 19:00:00	6.558	8732672	3599994	0.000	162.016	-1.627	27.514	-1.674	0.939	172.238	-0.930	0.127	321.800	-0.374	-0.185	4.290	-42.771	150	0.421	0.565	0.048	-42.584	-42.958	437.778	91.474	-1.633
30	19.03.26 20:00:00	6.564	8732672	3599993	0.000	162.020	-1.617	27.518	-1.647	3.013	16.150	2.894	0.838	323.762	-0.390	-0.172	5.003	-43.486	150	0.431	0.560	0.048	-43.438	-43.534	439.517	91.866	-1.623
31	19.03.26 21:00:00	6.564	8732672	3599994	0.000	162.004	-1.615	27.523	-1.649	1.219	51.485	0.759	0.954	325.837	-0.384	-0.142	4.557	-42.782	150	0.413	0.528	0.048	-42.504	-43.060	438.322	91.616	-1.623
32	19.03.26 22:00:00	6.564	8732672	3599994	0.000	161.990	-1.630	27.510	-1.668	2.784	339.410	2.607	-0.979	328.524	-0.387	-0.146	4.617	-43.062	150	0.418	0.551	0.048	-42.926	-43.198	437.559	91.459	-1.622
33	19.03.26 23:00:00	6.558	8732672	3599994	0.000	161.975	-1.631	27.503	-1.657	2.934	337.394	2.708	-1.128	331.070	-0.453	-0.122	4.551	-41.881	150	0.472	0.591	0.049	-42.071	-41.690	435.703	91.024	-1.640
34	20.03.26 00:00:00	6.552	8732672	3599993	0.000	161.950	-1.660	27.490	-1.691	5.583	346.007	5.418	-1.350	324.238	-0.456	-0.151	4.183	-42.395	150	0.484	0.613	0.052	-42.503	-42.286	435.176	90.842	-1.667
35	20.03.26 01:00:00	6.552	8732672	3599994	0.000	161.906	-1.650	27.505	-1.694	1.528	3.208	1.526	0.086	321.310	-0.399	-0.133	4.357	-41.394	150	0.425	0.579	0.058	-41.233	-41.555	436.254	91.086	-1.659
36	20.03.26 02:00:00	6.546	8732672	3599994	0.000	161.839	-1.663	27.478	-1.696	1.032	218.064	-0.812	-0.636	313.948	-0.357	-0.068	4.383	-42.654	150	0.367	0.514	0.048	-42.694	-42.614	433.430	90.467	-1.671
37	20.03.26 03:00:00	6.540	8732672	3599994	0.000	161.769	-1.663	27.449	-1.687	2.721	171.906	-2.694	0.383	309.293	-0.347	-0.013	4.846	-43.128	150	0.353	0.499	0.050	-42.732	-43.524	433.863	90.559	-1.670
38	20.03.26 04:00:00	6.546	8732672	3599993	0.000	161.683	-1.658	27.464	-1.691	1.998	281.014	0.382	-1.962	317.640	-0.327	-0.044	3.929	-44.632	150	0.335	0.447	0.048	-44.255	-45.010	433.805	90.558	-1.666
39	20.03.26 05:00:00	6.582	8732672	3599993	0.000	161.569	-1.668	27.455	-1.702	1.054	238.592	-0.549	-0.900	318.901	-0.295	0.033	3.687	-44.668	150	0.302	0.433	0.049	-44.637	-44.698	437.060	91.213	-1.675
40	20.03.26 06:00:00	6.569	8732672	3599994	0.000	161.444	-1.668	27.459	-1.698	2.201	100.634	-0.406	2.163	320.692	-0.328	0.012	4.380	-45.777	150	0.335	0.486	0.060	-46.037	-45.516	434.702	90.721	-1.675
41	20.03.26 07:00:00	6.576	8732672	3599993	0.000	161.343	-1.658	27.501	-1.698	3.133	269.888	-0.006	-3.133	322.839	-0.406	-0.024	4.084	-43.979	150	0.413	0.606	0.060	-43.766	-44.191	433.787	90.569	-1.660
42	20.03.26 08:00:00	6.576	8732672	3599994	0.000	161.197	-1.663	27.485	-1.704	4.912	304.784	2.802	-4.034	327.215	-0.435	-0.107	4.522	-42.373	150	0.453	0.570	0.050	-42.304	-42.442	435.146	90.827	-1.670
43	20.03.26 09:00:00	6.576	8732672	3599993	0.000	161.064	-1.667	27.468	-1.702	4.542	349.126	4.461	-0.857	327.387	-0.443	-0.137	4.042	-42.114	150	0.468	0.597	0.047	-41.938	-42.290	434.136	90.604	-1.675
44	20.03.26 10:00:00	6.576	8732672	3599994	0.000	160.949	-1.450	27.669	-1.490	6.667	347.165	6.501	-1.481	327.404	-0.449	-0.147	4.251	-41.270	150	0.476	0.598	0.049	-41.231	-41.309	444.019	93.270	-1.452
